AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	--	0,01887	0,05741	0,01756	0,0099
--	--	--	--	--	--	0,01896	0,05774	0,01765	0,00998
--	--	--	--	--	--	0,019	0,05791	0,01775	0,01007
--	--	--	--	--	--	0,01904	0,05808	0,01784	0,01015
--	--	--	--	--	--	0,01913	0,05841	0,01794	0,01023
--	--	--	--	--	--	0,01921	0,05875	0,01803	0,01031
--	--	--	--	--	--	0,01929	0,05909	0,01812	0,0104
--	--	--	--	--	--	0,01938	0,05943	0,01822	0,01048
--	--	--	--	--	--	0,01946	0,05977	0,01831	0,01057
--	--	--	--	--	--	0,01955	0,06011	0,01841	0,01065
--	--	--	--	--	--	0,01963	0,06045	0,0185	0,01074
--	--	--	--	--	--	0,01971	0,06079	0,0186	0,01082
--	--	--	--	--	--	0,0198	0,06114	0,01869	0,01091
--	--	--	--	--	--	0,01988	0,06148	0,01879	0,011
--	--	--	--	--	--	0,01997	0,06182	0,01888	0,01108
--	--	--	--	--	--	0,02005	0,06217	0,01898	0,01117
--	--	--	--	--	--	0,02014	0,06252	0,01907	0,01126
--	--	--	--	--	--	0,02022	0,06286	0,01917	0,01135
--	--	--	--	--	--	0,0203	0,06321	0,01926	0,01144
--	--	--	--	--	--	0,02039	0,06356	0,01926	0,01144
--	--	--	--	--	--	0,02047	0,06391	0,01935	0,01153
--	--	--	--	--	--	0,02056	0,06426	0,01945	0,01162
--	--	--	--	--	--	0,02064	0,06461	0,01954	0,01171
--	--	--	--	--	--	0,02072	0,06497	0,01964	0,0118
--	--	--	--	--	--	0,02074	0,06504	0,01973	0,01189
--	--	--	--	--	--	0,02081	0,06532	0,01983	0,01198
--	--	--	--	--	--	0,02089	0,06568	0,01992	0,01207
--	--	--	--	--	--	0,02098	0,06603	0,02002	0,01216
--	--	--	--	--	--	0,02106	0,06639	0,02011	0,01226
--	--	--	--	--	--	0,02114	0,06674	0,02021	0,01235
--	--	--	--	--	--	0,02123	0,0671	0,0203	0,01244
--	--	--	--	--	--	0,02131	0,06746	0,0204	0,01254
--	--	--	--	--	--	0,0214	0,06782	0,02049	0,01263
--	--	--	--	--	--	0,02148	0,06818	0,02058	0,01273
--	--	--	--	--	--	0,02156	0,06854	0,02068	0,01282
--	--	--	--	--	--	0,02165	0,06891	0,02077	0,01292
--	--	--	--	--	--	0,02173	0,06927	0,02087	0,01302
--	--	--	--	--	--	0,02182	0,06963	0,02096	0,01311
--	--	--	--	--	--	0,0219	0,07	0,021	0,01315
--	--	--	--	--	--	0,02198	0,07036	0,02106	0,01321
--	--	--	--	--	--	0,02207	0,07073	0,02115	0,01331
--	--	--	--	--	--	0,02215	0,0711	0,02125	0,01341
--	--	--	--	--	--	0,02224	0,07147	0,02134	0,01351
--	--	--	--	--	--	0,02232	0,07184	0,02144	0,01361
--	--	--	--	--	--	0,02241	0,07221	0,02153	0,01371
--	--	--	--	--	--	0,02249	0,07258	0,02162	0,01381
--	--	--	--	--	--	0,0225	0,07263	0,02172	0,01391
--	--	--	--	--	--	0,02257	0,07295	0,02181	0,01401
--	--	--	--	--	--	0,02266	0,07333	0,02191	0,01411
--	--	--	--	--	--	0,02274	0,0737	0,022	0,01421
--	--	--	--	--	--	0,02283	0,07408	0,0221	0,01432
--	--	--	--	--	--	0,02291	0,07445	0,02219	0,01442
--	--	--	--	--	--	0,02299	0,07483	0,02229	0,01452
--	--	--	--	--	--	0,02308	0,07521	0,02238	0,01463
--	--	--	--	--	--	0,02316	0,07559	0,02248	0,01473
--	--	--	--	--	--	0,02325	0,07597	0,02257	0,01484
--	--	--	--	--	--	0,02333	0,07635	0,02267	0,01495
--	--	--	--	--	--	0,02341	0,07673	0,02276	0,01505
--	--	--	--	--	--	0,0235	0,07712	0,02276	0,01505
--	--	--	--	--	--	0,02358	0,0775	0,02285	0,01516
--	--	--	--	--	--	0,02367	0,07788	0,02295	0,01527
--	--	--	--	--	--	0,02375	0,07827	0,02304	0,01538
--	--	--	--	--	--	0,02383	0,07866	0,02314	0,01549
--	--	--	--	--	--	0,02392	0,07905	0,02323	0,01559
--	--	--	--	--	--	0,024	0,07943	0,02333	0,0157
--	--	--	--	--	--	0,02409	0,07982	0,02342	0,01582
--	--	--	--	--	--	0,02417	0,08021	0,02352	0,01593
--	--	--	--	--	--	0,02424	0,08054	0,02361	0,01604
--	--	--	--	--	--	0,02426	0,08061	0,02371	0,01615
--	--	--	--	--	--	0,02434	0,081	0,0238	0,01626
--	--	--	--	--	--	0,02442	0,08139	0,0239	0,01638
--	--	--	--	--	--	0,02451	0,08179	0,02399	0,01649
--	--	--	--	--	--	0,02459	0,08218	0,02408	0,0166
--	--	--	--	--	--	0,02468	0,08258	0,02418	0,01672
--	--	--	--	--	--	0,02476	0,08298	0,02427	0,01683
--	--	--	--	--	--	0,02484	0,08338	0,02437	0,01695
--	--	--	--	--	--	0,02493	0,08378	0,02446	0,01707
--	--	--	--	--	--	0,02501	0,08418	0,0245	0,01711
--	--	--	--	--	--	0,0251	0,08458	0,02456	0,01718
--	--	--	--	--	--	0,02518	0,08498	0,02465	0,0173
--	--	--	--	--	--	0,02526	0,08539	0,02475	0,01742
--	--	--	--	--	--	0,02535	0,08579	0,02484	0,01754
--	--	--	--	--	--	0,02543	0,0862	0,02494	0,01766
--	--	--	--	--	--	0,02552	0,0866	0,02503	0,01778
--	--	--	--	--	--	0,0256	0,08701	0,02512	0,0179
--	--	--	--	--	--	0,02568	0,08742	0,02522	0,01802
--	--	--	--	--	--	0,02577	0,08783	0,02531	0,01814
--	--	--	--	--	--	0,02585	0,08824	0,02541	0,01827
--	--	--	--	--	--	0,02594	0,08865	0,0255	0,01839
--	--	--	--	--	--	0,026	0,08896	0,0256	0,01851
--	--	--	--	--	--	0,02602	0,08906	0,02569	0,01864
--	--	--	--	--	--	0,02611	0,08948	0,02579	0,01876
--	--	--	--	--	--	0,02619	0,08989	0,02588	0,01889
--	--	--	--	--	--	0,02627	0,09031	0,02598	0,01901
--	--	--	--	--	--	0,02636	0,09073	0,02607	0,01914
--	--	--	--	--	--	0,02644	0,09114	0,02617	0,01927
--	--	--	--	--	--	0,02653	0,09156	0,02626	0,0194
--	--	--	--	--	--	0,02661	0,09198	0,02626	0,0194
--	--	--	--	--	--	0,02669	0,09241	0,02635	0,01952
--	--	--	--	--	--	0,02678	0,09283	0,02645	0,01965
--	--	--	--	--	--	0,02686	0,09325	0,02654	0,01978
--	--	--	--	--	--	0,02695	0,09368	0,02664	0,01991
--	--	--	--	--	--	0,02703	0,0941	0,02673	0,02005
--	--	--	--	--	--	0,02711	0,09453	0,02683	0,02018
--	--	--	--	--	--	0,0272	0,09495	0,02692	0,02031
--	--	--	--	--	--	0,02728	0,09538	0,02702	0,02044
--	--	--	--	--	--	0,02737	0,09581	0,02711	0,02058
--	--	--	--	--	--	0,02745	0,09624	0,02721	0,02071
--	--	--	--	--	--	0,02753	0,09668	0,0273	0,02085
--	--	--	--	--	--	0,02762	0,09711	0,0274	0,02098
--	--	--	--	--	--	0,0277	0,09754	0,02749	0,02112
--	--	--	--	--	--	0,02774	0,09774	0,02758	0,02126
--	--	--	--	--	--	0,02779	0,09798	0,02768	0,02139
--	--	--	--	--	--	0,02787	0,09841	0,02777	0,02153
--	--	--	--	--	--	0,02795	0,09885	0,02787	0,02167
--	--	--	--	--	--	0,02804	0,09929	0,02796	0,02181
--	--	--	--	--	--	0,02812	0,09973	0,028	0,02187
--	--	--	--	--	--	0,02821	0,10017	0,02806	0,02195
--	--	--	--	--	--	0,02829	0,10061	0,02815	0,0221
--	--	--	--	--	--	0,02838	0,10106	0,02825	0,02224
--	--	--	--	--	--	0,02846	0,1015	0,02834	0,02238
--	--	--	--	--	--	0,02854	0,10194	0,02844	0,02252
--	--	--	--	--	--	0,02863	0,10239	0,02853	0,02267
--	--	--	--	--	--	0,02871	0,10284	0,02862	0,02281
--	--	--	--	--	--	0,0288	0,10329	0,02872	0,02296
--	--	--	--	--	--	0,02888	0,10374	0,02881	0,0231
--	--	--	--	--	--	0,02896	0,10419	0,02891	0,02325
--	--	--	--	--	--	0,02905	0,10464	0,029	0,0234
--	--	--	--	--	--	0,02913	0,10509	0,0291	0,02355
--	--	--	--	--	--	0,02922	0,10555	0,02919	0,0237
--	--	--	--	--	--	0,0293	0,106	0,02929	0,02385
--	--	--	--	--	--	0,02938	0,10646	0,02938	0,024
--	--	--	--	--	--	0,02947	0,10691	0,02948	0,02415
--	--	--	--	--	--	0,0295	0,10709	0,02957	0,0243
--	--	--	--	--	--	0,02955	0,10737	0,02967	0,02446
--	--	--	--	--	--	0,02964	0,10783	0,02976	0,02461
--	--	--	--	--	--	0,02972	0,10829	0,02985	0,02476
--	--	--	--	--	--	0,0298	0,10876	0,02995	0,02492
--	--	--	--	--	--	0,02989	0,10922	0,03004	0,02508
--	--	--	--	--	--	0,02997	0,10968	0,03014	0,02523
--	--	--	--	--	--	0,03006	0,11015	0,03023	0,02539
--	--	--	--	--	--	0,03014	0,11062	0,03033	0,02555
