Qz, A-1	Reflectivity data curve 1	Simulated fitting curve 1	Qz, A-1	Reflectivity data curve 1	Simulated fitting curve 2
0,27901	16,78487	19,93614	0,27901	2,63511	2,49624
0,28471	13,52968	16,36747	0,28471	1,96897	1,68533
0,2904	10,75595	13,25692	0,2904	1,239	1,11859
0,29609	8,13385	10,57851	0,29609	0,99487	0,74636
0,30178	6,16589	8,3025	0,30178	0,73062	0,52411
0,30747	5,07832	6,39645	0,30747	0,56788	0,41295
0,31316	3,60211	4,82626	0,31316	0,40419	0,37988
0,31885	2,71821	3,55702	0,31885	0,42094	0,39769
0,32454	2,10078	2,55387	0,32454	0,37912	0,44473
0,33023	1,55401	1,7826	0,33023	0,48383	0,50445
0,33593	1,08586	1,21028	0,33593	0,47382	0,56487
0,34162	0,76235	0,80571	0,34162	0,55979	0,61793
0,34731	0,62606	0,53976	0,34731	0,64765	0,65885
0,353	0,54644	0,38568	0,353	0,48278	0,68553
0,35869	0,35138	0,31927	0,35869	0,5535	0,69784
0,36438	0,34974	0,31899	0,36438	0,65898	0,69712
0,37006	0,45512	0,36598	0,37006	0,80338	0,68566
0,37575	0,49717	0,44405	0,37575	0,69106	0,66621
0,38144	0,61946	0,53962	0,38144	0,57918	0,6417
0,38713	0,62737	0,64156	0,38713	0,77193	0,61493
0,39282	0,54742	0,74103	0,39282	0,71956	0,58833
0,39851	0,58872	0,83135	0,39851	0,78526	0,5639
0,4042	0,75251	0,9077	0,4042	0,53678	0,54309
0,40989	0,6888	0,96699	0,40989	0,60628	0,5268
0,41557	0,77428	1,00757	0,41557	0,72024	0,5154
0,42126	0,87258	1,02903	0,42126	0,69013	0,50879
0,42695	0,71111	1,03198	0,42695	0,52502	0,5065
0,43264	1,06758	1,01781	0,43264	0,59772	0,50774
0,43832	0,64085	0,98852	0,43832	0,55695	0,51155
0,44401	0,67902	0,94654	0,44401	0,56699	0,51686
0,4497	0,70064	0,89451	0,4497	0,49495	0,52259
0,45538	0,59902	0,83521	0,45538	0,48364	0,52772
0,46107	0,58765	0,77137	0,46107	0,50407	0,53137
0,46676	0,57702	0,7056	0,46676	0,49569	0,53282
0,47244	0,50404	0,64029	0,47244	0,45119	0,53157
0,47813	0,61954	0,57758	0,47813	0,45406	0,52731
0,48381	0,58684	0,51925	0,48381	0,37083	0,51995
0,4895	0,64824	0,46676	0,4895	0,41122	0,50959
0,49518	0,61799	0,4212	0,49518	0,30001	0,4965
0,50087	0,54874	0,3833	0,50087	0,43282	0,48111
0,50655	0,4419	0,35346	0,50655	0,31024	0,46393
0,51224	0,32054	0,33175	0,51224	0,41388	0,44553
0,51792	0,42066	0,31796	0,51792	0,33207	0,42653
0,5236	0,41296	0,31164	0,5236	0,32857	0,40753
0,52929	0,58735	0,31211	0,52929	0,41089	0,38908
0,53497	0,41224	0,31855	0,53497	0,39485	0,3717
0,54065	0,46419	0,33003	0,54065	0,35917	0,35579
0,54634	0,63683	0,34552	0,54634	0,39316	0,34169
0,55202	0,35918	0,36399	0,55202	0,49617	0,3296
0,5577	0,45208	0,38438	0,5577	0,36973	0,31966
0,56338	0,39508	0,40569	0,56338	0,54576	0,31189
0,56906	0,43212	0,42698	0,56906	0,41151	0,30621
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
--	--	--	--	--	--
