Mean molecule area A2/molecule	Surface pressure, mN/m	Mean molecule area A2/molecule	Cs-1, mN/m
232,04	0,641	232,04	3,31394
231,99	0,634	231,99	3,32618
231,93	0,633	231,93	3,33841
231,89	0,628	231,89	3,35054
231,83	0,628	231,83	3,36252
231,79	0,633	231,79	3,3744
231,74	0,636	231,74	3,38626
231,7	0,635	231,7	3,3982
231,64	0,635	231,64	3,41036
231,6	0,638	231,6	3,42286
231,54	0,64	231,54	3,43575
231,5	0,642	231,5	3,44898
231,45	0,644	231,45	3,46249
231,4	0,647	231,4	3,4762
231,35	0,642	231,35	3,49002
231,31	0,635	231,31	3,50389
231,25	0,635	231,25	3,5178
231,21	0,642	231,21	3,53174
231,16	0,642	231,16	3,54564
231,11	0,64	231,11	3,55946
231,06	0,641	231,06	3,57319
231,02	0,639	231,02	3,58681
230,96	0,64	230,96	3,60036
230,92	0,651	230,92	3,6139
230,86	0,653	230,86	3,62746
230,82	0,649	230,82	3,64107
230,77	0,648	230,77	3,65471
230,72	0,649	230,72	3,66841
230,67	0,649	230,67	3,68221
230,63	0,648	230,63	3,69614
230,57	0,647	230,57	3,71023
230,53	0,651	230,53	3,72447
230,47	0,649	230,47	3,73884
230,43	0,645	230,43	3,75326
230,38	0,653	230,38	3,76765
230,34	0,656	230,34	3,78197
230,28	0,65	230,28	3,79621
230,24	0,653	230,24	3,81035
230,18	0,652	230,18	3,82443
230,13	0,65	230,13	3,83851
230,09	0,658	230,09	3,8526
230,04	0,659	230,04	3,86672
229,99	0,657	229,99	3,88085
229,95	0,656	229,95	3,89498
229,89	0,657	229,89	3,90907
229,85	0,659	229,85	3,92305
229,79	0,655	229,79	3,93685
229,75	0,652	229,75	3,95044
229,7	0,654	229,7	3,96382
229,64	0,654	229,64	3,977
229,6	0,652	229,6	3,99001
229,55	0,65	229,55	4,00285
229,5	0,657	229,5	4,01557
229,45	0,656	229,45	4,02823
229,41	0,658	229,41	4,04089
229,35	0,663	229,35	4,0536
229,31	0,667	229,31	4,06638
229,25	0,663	229,25	4,07919
229,21	0,658	229,21	4,09196
229,16	0,664	229,16	4,10454
229,11	0,667	229,11	4,11685
229,06	0,671	229,06	4,12884
229,02	0,665	229,02	4,14054
228,96	0,662	228,96	4,15202
228,92	0,666	228,92	4,16331
228,87	0,671	228,87	4,17447
228,82	0,676	228,82	4,18552
228,77	0,676	228,77	4,19647
228,73	0,672	228,73	4,20732
228,67	0,667	228,67	4,21811
228,63	0,667	228,63	4,22887
228,58	0,668	228,58	4,23959
