AlphA. deg.	Ni Ka XRF, A.u. curve 4	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,03299	0,11827	0,02876	0,01677
--	--	--	--	--	0,03313	0,11887	0,02891	0,0169
--	--	--	--	--	0,03328	0,11947	0,02896	0,01694
--	--	--	--	--	0,03342	0,12007	0,02906	0,01703
--	--	--	--	--	0,03356	0,12068	0,02921	0,01716
--	--	--	--	--	0,0337	0,12128	0,02936	0,0173
--	--	--	--	--	0,03384	0,12189	0,02951	0,01743
--	--	--	--	--	0,03399	0,12249	0,02966	0,01756
--	--	--	--	--	0,03413	0,1231	0,02981	0,0177
--	--	--	--	--	0,03427	0,12371	0,02996	0,01783
--	--	--	--	--	0,03441	0,12432	0,03011	0,01797
--	--	--	--	--	0,03455	0,12493	0,03026	0,01811
--	--	--	--	--	0,0347	0,12554	0,03041	0,01824
--	--	--	--	--	0,03484	0,12615	0,03056	0,01838
--	--	--	--	--	0,03498	0,12676	0,03071	0,01852
--	--	--	--	--	0,03512	0,12737	0,03086	0,01866
--	--	--	--	--	0,03526	0,12799	0,03101	0,0188
--	--	--	--	--	0,0354	0,1286	0,03116	0,01894
--	--	--	--	--	0,03552	0,1291	0,03131	0,01908
--	--	--	--	--	0,03555	0,12922	0,03146	0,01922
--	--	--	--	--	0,03569	0,12984	0,03161	0,01937
--	--	--	--	--	0,03583	0,13045	0,03176	0,01951
--	--	--	--	--	0,03597	0,13107	0,03191	0,01965
--	--	--	--	--	0,03611	0,13169	0,03206	0,0198
--	--	--	--	--	0,03626	0,13231	0,03221	0,01994
--	--	--	--	--	0,0364	0,13293	0,03227	0,02001
--	--	--	--	--	0,03654	0,13356	0,03236	0,02009
--	--	--	--	--	0,03668	0,13418	0,03251	0,02023
--	--	--	--	--	0,03682	0,1348	0,03266	0,02038
--	--	--	--	--	0,03697	0,13543	0,03281	0,02053
--	--	--	--	--	0,03711	0,13605	0,03296	0,02068
--	--	--	--	--	0,03725	0,13668	0,03311	0,02083
--	--	--	--	--	0,03739	0,13731	0,03326	0,02098
--	--	--	--	--	0,03753	0,13794	0,03341	0,02113
--	--	--	--	--	0,03767	0,13857	0,03356	0,02128
--	--	--	--	--	0,03782	0,1392	0,03371	0,02143
--	--	--	--	--	0,03796	0,13983	0,03386	0,02158
--	--	--	--	--	0,0381	0,14046	0,03401	0,02174
--	--	--	--	--	0,03824	0,1411	0,03416	0,02189
--	--	--	--	--	0,03838	0,14173	0,03431	0,02204
--	--	--	--	--	0,03853	0,14236	0,03446	0,0222
--	--	--	--	--	0,03867	0,143	0,03461	0,02235
--	--	--	--	--	0,03881	0,14364	0,03476	0,02251
--	--	--	--	--	0,03884	0,14376	0,03484	0,0226
--	--	--	--	--	0,03895	0,14428	0,03491	0,02267
--	--	--	--	--	0,03909	0,14491	0,03505	0,02283
--	--	--	--	--	0,03924	0,14555	0,0352	0,02299
--	--	--	--	--	0,03938	0,1462	0,03535	0,02315
--	--	--	--	--	0,03952	0,14684	0,0355	0,02331
--	--	--	--	--	0,03966	0,14748	0,03565	0,02347
--	--	--	--	--	0,0398	0,14812	0,0358	0,02363
--	--	--	--	--	0,03994	0,14877	0,03595	0,02379
--	--	--	--	--	0,04009	0,14941	0,0361	0,02395
--	--	--	--	--	0,04023	0,15006	0,03625	0,02412
--	--	--	--	--	0,04037	0,15071	0,0364	0,02428
--	--	--	--	--	0,04051	0,15136	0,03655	0,02445
--	--	--	--	--	0,04065	0,15201	0,0367	0,02461
--	--	--	--	--	0,0408	0,15266	0,03685	0,02478
--	--	--	--	--	0,04094	0,15331	0,037	0,02495
--	--	--	--	--	0,04108	0,15396	0,03715	0,02512
--	--	--	--	--	0,04122	0,15461	0,0373	0,02529
--	--	--	--	--	0,04136	0,15527	0,03745	0,02546
--	--	--	--	--	0,04151	0,15592	0,03755	0,02557
--	--	--	--	--	0,04165	0,15658	0,0376	0,02563
--	--	--	--	--	0,04179	0,15723	0,03775	0,0258
--	--	--	--	--	0,04193	0,15789	0,0379	0,02597
--	--	--	--	--	0,04207	0,15855	0,03805	0,02615
--	--	--	--	--	0,04221	0,15921	0,0382	0,02632
--	--	--	--	--	0,04236	0,15987	0,03835	0,02649
--	--	--	--	--	0,04246	0,16033	0,0385	0,02667
--	--	--	--	--	0,0425	0,16053	0,03865	0,02685
--	--	--	--	--	0,04264	0,1612	0,0388	0,02702
--	--	--	--	--	0,04278	0,16186	0,03895	0,0272
--	--	--	--	--	0,04292	0,16253	0,0391	0,02738
--	--	--	--	--	0,04307	0,16319	0,03925	0,02756
--	--	--	--	--	0,04321	0,16386	0,0394	0,02774
--	--	--	--	--	0,04335	0,16453	0,03955	0,02792
--	--	--	--	--	0,04349	0,16519	0,0397	0,0281
--	--	--	--	--	0,04363	0,16586	0,03985	0,02829
--	--	--	--	--	0,04378	0,16653	0,04	0,02847
--	--	--	--	--	0,04392	0,16721	0,04015	0,02865
--	--	--	--	--	0,04406	0,16788	0,0403	0,02884
--	--	--	--	--	0,0442	0,16855	0,04045	0,02903
--	--	--	--	--	0,04434	0,16923	0,0406	0,02921
--	--	--	--	--	0,04448	0,1699	0,04075	0,0294
--	--	--	--	--	0,04463	0,17058	0,0409	0,02959
--	--	--	--	--	0,04477	0,17126	0,04102	0,02974
--	--	--	--	--	0,04487	0,17173	0,04105	0,02978
--	--	--	--	--	0,04491	0,17194	0,0412	0,02997
--	--	--	--	--	0,04505	0,17262	0,04135	0,03016
--	--	--	--	--	0,04519	0,1733	0,0415	0,03035
--	--	--	--	--	0,04534	0,17398	0,04165	0,03055
--	--	--	--	--	0,04548	0,17466	0,0418	0,03074
--	--	--	--	--	0,04562	0,17534	0,04195	0,03094
--	--	--	--	--	0,04576	0,17603	0,0421	0,03113
--	--	--	--	--	0,0459	0,17671	0,04225	0,03133
--	--	--	--	--	0,04605	0,1774	0,0424	0,03153
--	--	--	--	--	0,04619	0,17809	0,04255	0,03172
--	--	--	--	--	0,04633	0,17878	0,0427	0,03192
--	--	--	--	--	0,04647	0,17947	0,04285	0,03212
--	--	--	--	--	0,04661	0,18016	0,043	0,03233
--	--	--	--	--	0,04675	0,18085	0,04315	0,03253
--	--	--	--	--	0,0469	0,18154	0,0433	0,03273
--	--	--	--	--	0,04704	0,18223	0,04345	0,03293
--	--	--	--	--	0,04718	0,18293	0,0436	0,03314
--	--	--	--	--	0,04732	0,18363	0,04375	0,03335
--	--	--	--	--	0,04746	0,18432	0,0439	0,03355
--	--	--	--	--	0,04761	0,18502	0,04403	0,03374
--	--	--	--	--	0,04775	0,18572	0,04405	0,03376
--	--	--	--	--	0,04788	0,18639	0,0442	0,03397
--	--	--	--	--	0,04789	0,18642	0,04435	0,03418
--	--	--	--	--	0,04803	0,18712	0,0445	0,03439
--	--	--	--	--	0,04817	0,18782	0,04465	0,0346
--	--	--	--	--	0,04832	0,18852	0,0448	0,03481
--	--	--	--	--	0,04846	0,18923	0,04495	0,03503
--	--	--	--	--	0,0486	0,18993	0,0451	0,03524
--	--	--	--	--	0,04874	0,19064	0,04525	0,03546
--	--	--	--	--	0,04888	0,19135	0,0454	0,03567
--	--	--	--	--	0,04902	0,19205	0,04555	0,03589
--	--	--	--	--	0,04917	0,19276	0,0457	0,03611
--	--	--	--	--	0,04931	0,19347	0,04585	0,03633
--	--	--	--	--	0,04945	0,19418	0,046	0,03655
--	--	--	--	--	0,04959	0,1949	0,04615	0,03677
--	--	--	--	--	0,04973	0,19561	0,0463	0,03699
--	--	--	--	--	0,04988	0,19632	0,04645	0,03722
--	--	--	--	--	0,05002	0,19704	0,0466	0,03744
--	--	--	--	--	0,05016	0,19776	0,04674	0,03766
--	--	--	--	--	0,0503	0,19847	0,04689	0,03789
--	--	--	--	--	0,05044	0,19919	0,0469	0,0379
--	--	--	--	--	0,05059	0,19991	0,04704	0,03812
--	--	--	--	--	0,05073	0,20063	0,04719	0,03835
--	--	--	--	--	0,05087	0,20135	0,04734	0,03858
--	--	--	--	--	0,0509	0,20151	0,04749	0,03881
--	--	--	--	--	0,05101	0,20208	0,04764	0,03904
--	--	--	--	--	0,05115	0,2028	0,04779	0,03927
--	--	--	--	--	0,05129	0,20353	0,04794	0,03951
--	--	--	--	--	0,05144	0,20425	0,04809	0,03974
--	--	--	--	--	0,05158	0,20498	0,04824	0,03998
--	--	--	--	--	0,05172	0,20571	0,04839	0,04021
--	--	--	--	--	0,05186	0,20644	0,04854	0,04045
--	--	--	--	--	0,052	0,20717	0,04869	0,04069
--	--	--	--	--	0,05215	0,2079	0,04884	0,04093
--	--	--	--	--	0,05229	0,20863	0,04899	0,04117
--	--	--	--	--	0,05243	0,20936	0,04914	0,04141
--	--	--	--	--	0,05257	0,2101	0,04929	0,04166
--	--	--	--	--	0,05271	0,21083	0,04944	0,0419
--	--	--	--	--	0,05286	0,21157	0,04946	0,04193
--	--	--	--	--	0,053	0,21231	0,04959	0,04215
--	--	--	--	--	0,05314	0,21305	0,04974	0,0424
--	--	--	--	--	0,05328	0,21379	0,04989	0,04264
--	--	--	--	--	0,05342	0,21453	0,05004	0,04289
--	--	--	--	--	0,05356	0,21527	0,05019	0,04314
--	--	--	--	--	0,05371	0,21601	0,05034	0,04339
--	--	--	--	--	0,05385	0,21676	0,05049	0,04365
--	--	--	--	--	0,05399	0,2175	0,05064	0,0439
--	--	--	--	--	0,05413	0,21825	0,05079	0,04416
--	--	--	--	--	0,05422	0,21869	0,05094	0,04441
--	--	--	--	--	0,05427	0,219	0,05109	0,04467
--	--	--	--	--	0,05442	0,21975	0,05124	0,04493
--	--	--	--	--	0,05456	0,2205	0,05139	0,04519
--	--	--	--	--	0,0547	0,22125	0,05154	0,04545
--	--	--	--	--	0,05484	0,222	0,05169	0,04571
--	--	--	--	--	0,05498	0,22275	0,05184	0,04597
--	--	--	--	--	0,05513	0,22351	0,05199	0,04624
--	--	--	--	--	0,05527	0,22426	0,05214	0,0465
--	--	--	--	--	0,05541	0,22502	0,05229	0,04677
--	--	--	--	--	0,05555	0,22578	0,05244	0,04704
--	--	--	--	--	0,05569	0,22653	0,05259	0,04731
--	--	--	--	--	0,05583	0,22729	0,05274	0,04758
--	--	--	--	--	0,05598	0,22805	0,05289	0,04785
--	--	--	--	--	0,05612	0,22882	0,05293	0,04792
--	--	--	--	--	0,05626	0,22958	0,05304	0,04812
--	--	--	--	--	0,0564	0,23034	0,05319	0,04839
--	--	--	--	--	0,05654	0,23111	0,05334	0,04867
--	--	--	--	--	0,05669	0,23188	0,05349	0,04895
--	--	--	--	--	0,05683	0,23264	0,05364	0,04922
--	--	--	--	--	0,05693	0,2332	0,05379	0,0495
--	--	--	--	--	0,05697	0,23341	0,05394	0,04978
--	--	--	--	--	0,05711	0,23418	0,05409	0,05007
--	--	--	--	--	0,05725	0,23495	0,05424	0,05035
--	--	--	--	--	0,0574	0,23573	0,05439	0,05063
--	--	--	--	--	0,05754	0,2365	0,05454	0,05092
--	--	--	--	--	0,05768	0,23727	0,05469	0,05121
--	--	--	--	--	0,05782	0,23805	0,05484	0,05149
--	--	--	--	--	0,05796	0,23882	0,05499	0,05178
--	--	--	--	--	0,0581	0,2396	0,05514	0,05207
--	--	--	--	--	0,05825	0,24038	0,05529	0,05237
--	--	--	--	--	0,05839	0,24116	0,05544	0,05266
--	--	--	--	--	0,05853	0,24194	0,05559	0,05295
--	--	--	--	--	0,05867	0,24273	0,05574	0,05325
--	--	--	--	--	0,05881	0,24351	0,05589	0,05355
--	--	--	--	--	0,05896	0,24429	0,05604	0,05385
