Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3	Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4
286,87384	-0,01626	286,91384	-0,05402	288,07367	-0,06457	393,5	-0,01866
287,47375	-0,01651	287,51375	-0,05474	288,67355	-0,06456	394	-0,01947
288,07367	-0,01695	288,11367	-0,05507	289,27338	-0,06463	394,5	-0,02055
288,67355	-0,01725	288,71355	-0,05573	289,8732	-0,06439	395	-0,02067
289,27338	-0,01773	289,31338	-0,05639	290,47299	-0,06447	395,5	-0,02111
289,8732	-0,01825	289,9132	-0,05714	291,07275	-0,06448	396	-0,02249
290,47299	-0,01879	290,51299	-0,05795	291,67249	-0,06471	396,5	-0,02231
291,07275	-0,01906	291,11275	-0,05867	292,27219	-0,06463	397	-0,02275
291,67249	-0,01965	291,71249	-0,05953	292,87186	-0,06462	397,5	-0,02429
292,27219	-0,01992	292,31219	-0,06009	293,47153	-0,06478	398	-0,02531
292,87186	-0,02028	292,91186	-0,06079	294,07114	-0,06506	398,5	-0,026
293,47153	-0,02096	293,51153	-0,0618	294,67075	-0,06519	399	-0,02609
294,07114	-0,02163	294,11114	-0,06262	295,27032	-0,06564	399,5	-0,02675
294,67075	-0,02231	294,71075	-0,06367	295,86987	-0,06588	400	-0,02751
295,27032	-0,02305	295,31032	-0,06495	296,46936	-0,06658	400,5	-0,02794
295,86987	-0,02323	295,90987	-0,06581	297,06885	-0,06714	401	-0,02856
296,46936	-0,0239	296,50936	-0,06701	297,66833	-0,06822	401,5	-0,02881
297,06885	-0,02455	297,10885	-0,06813	298,26776	-0,0685	402	-0,02971
297,66833	-0,02562	297,70833	-0,06959	298,86716	-0,06948	402,5	-0,03039
298,26776	-0,02602	298,30776	-0,07064	299,46652	-0,07041	403	-0,03082
298,86716	-0,02697	298,90716	-0,0722	300,06589	-0,07163	403,5	-0,0319
299,46652	-0,02764	299,50652	-0,07346	300,66522	-0,0726	404	-0,0316
300,06589	-0,02857	300,10589	-0,07471	301,2645	-0,07344	404,5	-0,03222
300,66522	-0,02922	300,70522	-0,07624	301,86377	-0,07436	405	-0,03328
301,2645	-0,0299	301,3045	-0,07748	302,46301	-0,07582	405,5	-0,03299
301,86377	-0,03054	301,90377	-0,07871	303,06223	-0,07685	406	-0,0346
302,46301	-0,03154	302,50301	-0,08026	303,66141	-0,0783	406,5	-0,03489
303,06223	-0,03224	303,10223	-0,08146	304,26056	-0,0794	407	-0,03511
303,66141	-0,0333	303,70141	-0,0831	304,85968	-0,08118	407,5	-0,0355
304,26056	-0,03383	304,30056	-0,08451	305,4588	-0,08248	408	-0,03611
304,85968	-0,03486	304,89968	-0,08626	306,05786	-0,08391	408,5	-0,03654
305,4588	-0,03553	305,4988	-0,08761	306,65692	-0,08535	409	-0,03737
306,05786	-0,03603	306,09786	-0,08889	307,25592	-0,0869	409,5	-0,03843
306,65692	-0,03671	306,69692	-0,09039	307,85492	-0,08852	410	-0,03831
307,25592	-0,03758	307,29592	-0,09163	308,45389	-0,09028	410,5	-0,03927
307,85492	-0,03821	307,89492	-0,09302	309,05283	-0,09178	411	-0,03877
308,45389	-0,03943	308,49389	-0,09443	309,65173	-0,09341	411,5	-0,03918
309,05283	-0,04013	309,09283	-0,09557	310,25061	-0,095	412	-0,03978
309,65173	-0,04077	309,69173	-0,09682	310,84946	-0,09706	412,5	-0,04065
310,25061	-0,04125	310,29061	-0,09785	311,44827	-0,09873	413	-0,0417
310,84946	-0,04206	310,88946	-0,09907	312,04709	-0,10054	413,5	-0,04173
311,44827	-0,04266	311,48827	-0,10018	312,64584	-0,10192	414	-0,04188
312,04709	-0,04348	312,08709	-0,10145	313,2446	-0,10363	414,5	-0,04188
312,64584	-0,04376	312,68584	-0,10233	313,84329	-0,10534	415	-0,0435
313,2446	-0,04434	313,2846	-0,10331	314,44199	-0,10702	415,5	-0,04315
313,84329	-0,04496	313,88329	-0,10455	315,04065	-0,10836	416	-0,04443
314,44199	-0,04548	314,48199	-0,10563	315,63925	-0,11024	416,5	-0,04358
315,04065	-0,04573	315,08065	-0,10649	316,23785	-0,11188	417	-0,04361
315,63925	-0,04639	315,67925	-0,10753	316,83643	-0,11361	417,5	-0,04409
316,23785	-0,04658	316,27785	-0,10844	317,43497	-0,11508	418	-0,04519
316,83643	-0,04724	316,87643	-0,10913	318,03351	-0,11688	418,5	-0,04547
317,43497	-0,04741	317,47497	-0,10966	318,63199	-0,11832	419	-0,04554
318,03351	-0,04796	318,07351	-0,11066	319,23044	-0,12001	419,5	-0,04557
318,63199	-0,04804	318,67199	-0,11103	319,82889	-0,12175	420	-0,04631
319,23044	-0,0483	319,27044	-0,11157	320,42728	-0,12343	420,5	-0,04673
319,82889	-0,04854	319,86889	-0,11225	321,02567	-0,12472	421	-0,0467
320,42728	-0,04879	320,46728	-0,11265	321,62399	-0,12656	421,5	-0,04779
321,02567	-0,04888	321,06567	-0,11301	322,22232	-0,12787	422	-0,04789
321,62399	-0,04915	321,66399	-0,11356	322,82062	-0,1293	422,5	-0,04852
322,22232	-0,04879	322,26232	-0,11354	323,41888	-0,1305	423	-0,0487
322,82062	-0,04874	322,86062	-0,11396	324,01712	-0,1318	423,5	-0,04924
323,41888	-0,04854	323,45888	-0,11411	324,61533	-0,13284	424	-0,04861
324,01712	-0,04826	324,05712	-0,11382	325,2135	-0,13421	424,5	-0,04944
324,61533	-0,04787	324,65533	-0,11367	325,81165	-0,13533	425	-0,0498
325,2135	-0,04775	325,2535	-0,11368	326,40976	-0,13657	425,5	-0,05015
325,81165	-0,04714	325,85165	-0,11322	327,00784	-0,13767	426	-0,05018
326,40976	-0,04692	326,44976	-0,11271	327,60593	-0,13888	426,5	-0,04986
327,00784	-0,04637	327,04784	-0,11197	328,20395	-0,13984	427	-0,05003
327,60593	-0,04573	327,64593	-0,11144	328,80197	-0,14073	427,5	-0,04983
