Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4	Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3
298,7616	0,03468	356,5	0,0197	356,5	0,01115	407,91373	0,03365
299,05327	0,03394	357	0,02036	357	0,01114	408,50412	0,034
299,34493	0,03446	357,5	0,01987	357,5	0,01126	409,09448	0,0343
299,63656	0,03282	358	0,02007	358	0,01125	409,68478	0,03442
299,92818	0,03209	358,5	0,0208	358,5	0,01138	410,27509	0,0344
300,21978	0,03632	359	0,02116	359	0,01151	410,86533	0,03421
300,51136	0,03442	359,5	0,02045	359,5	0,01151	411,45551	0,03412
300,80292	0,03611	360	0,02025	360	0,01153	412,04565	0,0337
301,09446	0,0333	360,5	0,02087	360,5	0,01175	412,63577	0,03387
301,38599	0,03592	361	0,02031	361	0,0117	413,22586	0,03373
301,67749	0,04331	361,5	0,02043	361,5	0,01187	413,81589	0,03396
301,96898	0,04798	362	0,01891	362	0,01184	414,40585	0,03359
302,26044	0,04584	362,5	0,02118	362,5	0,01195	414,99582	0,03363
302,55189	0,04421	363	0,02002	363	0,01201	415,58572	0,03361
302,84332	0,04279	363,5	0,01927	363,5	0,01207	416,17557	0,03369
303,13472	0,04412	364	0,01866	364	0,01226	416,76541	0,03406
303,42611	0,04297	364,5	0,02043	364,5	0,01232	417,35519	0,03449
303,71748	0,0383	365	0,0192	365	0,01255	417,94492	0,03512
304,00884	0,04168	365,5	0,0215	365,5	0,01259	418,53461	0,03557
304,30017	0,0445	366	0,01975	366	0,01263	419,12427	0,03616
304,59148	0,04368	366,5	0,02	366,5	0,01286	419,7139	0,03698
304,88277	0,04235	367	0,02119	367	0,01296	420,30347	0,0379
305,17405	0,04246	367,5	0,02038	367,5	0,01311	420,89301	0,03887
305,4653	0,03869	368	0,01947	368	0,01319	421,48248	0,04009
305,75654	0,03734	368,5	0,02158	368,5	0,0134	422,07193	0,04163
306,04776	0,03526	369	0,02035	369	0,0134	422,66135	0,04338
306,33896	0,03666	369,5	0,019	369,5	0,01361	423,2507	0,04535
306,63013	0,0346	370	0,02058	370	0,01374	423,84003	0,04739
306,92129	0,03402	370,5	0,02124	370,5	0,01403	424,42932	0,04968
307,21243	0,03543	371	0,02031	371	0,01422	425,01855	0,05207
307,50355	0,03193	371,5	0,0217	371,5	0,01438	425,60776	0,05489
