AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,02079	0,03731	0,02219	0,01442
--	--	--	--	--	0,02088	0,03755	0,02229	0,01452
--	--	--	--	--	0,02097	0,03778	0,02238	0,01463
--	--	--	--	--	0,021	0,03787	0,02248	0,01473
--	--	--	--	--	0,02106	0,03802	0,02257	0,01484
--	--	--	--	--	0,02114	0,03826	0,02267	0,01495
--	--	--	--	--	0,02123	0,03849	0,02276	0,01505
--	--	--	--	--	0,02132	0,03873	0,02276	0,01505
--	--	--	--	--	0,02141	0,03897	0,02285	0,01516
--	--	--	--	--	0,0215	0,03921	0,02295	0,01527
--	--	--	--	--	0,02159	0,03945	0,02304	0,01538
--	--	--	--	--	0,02168	0,03969	0,02314	0,01549
--	--	--	--	--	0,02177	0,03994	0,02323	0,01559
--	--	--	--	--	0,02186	0,04018	0,02333	0,0157
--	--	--	--	--	0,02195	0,04043	0,02342	0,01582
--	--	--	--	--	0,02204	0,04067	0,02352	0,01593
--	--	--	--	--	0,02213	0,04092	0,02361	0,01604
--	--	--	--	--	0,02222	0,04116	0,02371	0,01615
--	--	--	--	--	0,02231	0,04141	0,0238	0,01626
--	--	--	--	--	0,0224	0,04166	0,0239	0,01638
--	--	--	--	--	0,02248	0,04191	0,02399	0,01649
--	--	--	--	--	0,02257	0,04216	0,02408	0,0166
--	--	--	--	--	0,02266	0,04241	0,02418	0,01672
--	--	--	--	--	0,02275	0,04266	0,02427	0,01683
--	--	--	--	--	0,02276	0,04268	0,02437	0,01695
--	--	--	--	--	0,02284	0,04292	0,02446	0,01707
--	--	--	--	--	0,02293	0,04317	0,0245	0,01711
--	--	--	--	--	0,02302	0,04342	0,02456	0,01718
--	--	--	--	--	0,02311	0,04368	0,02465	0,0173
--	--	--	--	--	0,0232	0,04394	0,02475	0,01742
--	--	--	--	--	0,02329	0,04419	0,02484	0,01754
--	--	--	--	--	0,02338	0,04445	0,02494	0,01766
--	--	--	--	--	0,02347	0,04471	0,02503	0,01778
--	--	--	--	--	0,02356	0,04497	0,02512	0,0179
--	--	--	--	--	0,02365	0,04523	0,02522	0,01802
--	--	--	--	--	0,02374	0,04549	0,02531	0,01814
--	--	--	--	--	0,02382	0,04576	0,02541	0,01827
--	--	--	--	--	0,02391	0,04602	0,0255	0,01839
--	--	--	--	--	0,024	0,04629	0,0256	0,01851
--	--	--	--	--	0,02409	0,04655	0,02569	0,01864
--	--	--	--	--	0,02418	0,04682	0,02579	0,01876
--	--	--	--	--	0,02427	0,04709	0,02588	0,01889
--	--	--	--	--	0,02436	0,04735	0,02598	0,01901
--	--	--	--	--	0,02445	0,04762	0,02607	0,01914
--	--	--	--	--	0,0245	0,04777	0,02617	0,01927
--	--	--	--	--	0,02454	0,04789	0,02626	0,0194
--	--	--	--	--	0,02463	0,04816	0,02626	0,0194
--	--	--	--	--	0,02472	0,04844	0,02635	0,01952
